time,close,high,low,open,volumefrom,volumeto
2018-01-17 02:35:00,1010.52,1010.52,1001.81,1006.06,1384.98,1399269.84
2018-01-17 02:36:00,1003.91,1012.03,1002.82,1010.44,855.94,861902.73
2018-01-17 02:37:00,1007.4,1009.47,1001.56,1003.91,603.49,608185.56
2018-01-17 02:38:00,1002.59,1008.02,1002.59,1007.4,576.37,578572.08
2018-01-17 02:39:00,1002.14,1003.14,1001.41,1002.71,819.48,826584.2
2018-01-17 02:40:00,997.61,1004.29,997.54,1002.14,1562.41,1569071.48
2018-01-17 02:41:00,995.96,1000.03,995.93,998.16,953.05,944114.21
2018-01-17 02:42:00,993.92,995.96,993.9,995.96,1028.03,1020333.84
2018-01-17 02:43:00,981.86,994.36,977.22,993.89,5542.4,5437381.67
2018-01-17 02:44:00,980.81,983.44,978.18,981.13,1534.38,1511147.07
2018-01-17 02:45:00,980.36,982.85,979.09,980.81,1185.33,1164530.24
2018-01-17 02:46:00,984.2,984.2,978.21,980.02,1638.45,1608588.04
2018-01-17 02:47:00,991.24,991.32,983.43,984.18,2812.36,2751612.27
2018-01-17 02:48:00,991.17,994.42,990.55,991.24,980.96,979391.14
2018-01-17 02:49:00,981.83,991.33,981.83,991.17,1238.16,1224440.97
2018-01-17 02:50:00,977.05,982.01,977.05,981.5,1292.29,1270073.35
2018-01-17 02:51:00,974.19,977.18,973.26,976.83,3223.74,3169824.71
2018-01-17 02:52:00,969.78,974.79,969.74,974.19,1408.83,1369516.92
2018-01-17 02:53:00,975.56,976.02,968.23,969.78,2307.09,2236500.41
2018-01-17 02:54:00,973.45,979.18,972.97,976.63,1310.61,1280490.91
2018-01-17 02:55:00,977.31,977.69,973.0,973.45,1277.05,1246338.82
2018-01-17 02:56:00,972.6,979.68,972.28,977.26,1394.65,1357789.47
2018-01-17 02:57:00,977.77,979.59,972.04,972.6,1302.02,1273703.28
2018-01-17 02:58:00,974.83,980.97,974.24,977.73,1201.89,1174554.95
2018-01-17 02:59:00,979.55,980.93,974.82,974.9,1245.99,1220304.46
2018-01-17 03:00:00,991.46,991.49,979.17,979.55,2263.13,2257097.92
2018-01-17 03:01:00,997.54,998.53,991.2,991.46,946.04,942150.49
2018-01-17 03:02:00,983.63,997.57,981.88,997.54,3521.23,3500206.74
2018-01-17 03:03:00,990.61,991.47,982.46,983.59,745.25,735797.32
2018-01-17 03:04:00,986.84,991.38,986.48,990.86,531.36,525159.84
2018-01-17 03:05:00,981.68,986.84,981.68,986.84,1115.07,1098237.64
2018-01-17 03:06:00,983.24,984.57,978.7,982.33,1171.91,1155899.51
2018-01-17 03:07:00,978.12,984.59,977.79,983.24,672.78,660222.86
2018-01-17 03:08:00,978.96,981.98,978.12,978.12,747.17,732007.97
2018-01-17 03:09:00,974.79,979.02,974.18,978.96,1475.48,1451015.37
2018-01-17 03:10:00,980.08,980.2,972.61,974.79,913.91,889327.07
2018-01-17 03:11:00,984.6,985.04,977.84,980.08,919.28,905540.68
2018-01-17 03:12:00,972.84,984.6,972.52,984.6,964.46,940758.03
2018-01-17 03:13:00,974.11,977.54,972.43,972.77,855.95,829942.45
2018-01-17 03:14:00,973.28,974.11,969.95,974.11,567.11,552596.57
2018-01-17 03:15:00,971.53,973.36,970.36,973.28,638.4,618262.19
2018-01-17 03:16:00,967.05,971.65,966.29,971.53,1467.46,1402009.92
2018-01-17 03:17:00,965.48,967.9,964.33,967.05,1039.32,1004775.41
2018-01-17 03:18:00,964.6,966.26,963.87,965.49,678.43,653908.73
2018-01-17 03:19:00,962.58,966.03,962.57,964.6,1212.02,1161934.94
2018-01-17 03:20:00,960.52,963.39,960.17,962.58,1183.17,1142545.06
2018-01-17 03:21:00,956.93,960.85,956.93,960.52,1135.95,1103868.94
2018-01-17 03:22:00,953.87,957.01,952.57,956.93,1604.07,1545259.28
