,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
222,1746560.0,539096740560.0,dimecoin,1515383041.0,84063511.0,,Dimecoin,1.35,20.05,423.57,1e-08,0.000155934,223,DIME,539096740560.0
223,3274830.0,219136307.0,potcoin,1515383041.0,83932931.0,420000000.0,PotCoin,-2.67,-1.32,-7.05,2.432e-05,0.383017,224,POT,219136307.0
224,448471.0,205026509.0,nolimitcoin,1515383049.0,83724830.0,,NoLimitCoin,-4.0,-9.85,95.67,2.593e-05,0.408361,225,NLC2,205026509.0
225,2290740.0,1050000000.0,airtoken,1515383057.0,82912620.0,,AirToken,11.55,58.84,137.81,5.01e-06,0.0789644,226,AIR,1491492558.0
226,13762000.0,24947260808.0,mintcoin,1515383041.0,82829895.0,,Mintcoin,-0.16,162.35,563.45,2.1e-07,0.0033202,227,MINT,24947260808.0
227,326509.0,173240927.0,vibe,1515383056.0,82713014.0,,VIBE,0.21,4.24,165.02,3.031e-05,0.477445,228,VIBE,267000000.0
228,1819590.0,175109299.0,worldcore,1515383059.0,82330264.0,,Worldcore,-2.47,19.07,261.51,2.985e-05,0.470165,229,WRC,245209299.0
229,447461.0,26244468.0,rivetz,1515383056.0,82100832.0,,Rivetz,-3.83,-2.78,205.43,0.00019862,3.12831,230,RVT,200000000.0
230,3731470.0,82256324.0,synereo,1515383046.0,81516511.0,,Synereo,-0.52,-1.49,0.39,6.292e-05,0.991006,231,AMP,949291063.0
231,4295540.0,162862944.0,humaniq,1515383052.0,81421212.0,920952070.0,Humaniq,-1.03,1.21,0.35,3.174e-05,0.499937,232,HMQ,184194944.0
232,2673260.0,701884009.0,pepe-cash,1515383049.0,81044441.0,,Pepe Cash,-1.12,9.14,30.02,7.33e-06,0.115467,233,PEPECASH,701884009.0
233,46591300.0,596476000.0,bitcny,1515383044.0,79973713.0,,bitCNY,-1.05,-3.4,-5.68,8.51e-06,0.134077,234,BITCNY,596476000.0
234,213148.0,3000000.0,minexcoin,1515383058.0,79498500.0,19000000.0,MinexCoin,3.24,4.21,42.77,0.00168246,26.4995,235,MNX,6000000.0
235,1719250.0,16677704.0,propy,1515383056.0,79264960.0,,Propy,-0.65,16.21,132.11,0.00030175,4.75275,236,PRO,100000000.0
236,6039200.0,757668329.0,datum,1515383059.0,79181644.0,,Datum,-2.37,-11.87,126.37,6.64e-06,0.104507,237,DAT,2653841598.0
237,1893910.0,16743700.0,pascal-coin,1515383050.0,79116159.0,,Pascal Coin,-1.58,-4.07,79.78,0.0003,4.72513,238,PASC,16743700.0
238,4126.97,3945678.0,peerplays-ppy,1515383052.0,78899348.0,,Peerplays,-1.7,-4.12,57.86,0.00126958,19.9964,239,PPY,5503029.0
239,2304370.0,40000000.0,blocktix,1515383054.0,77948000.0,,Blocktix,-0.99,-6.48,67.7,0.00012372,1.9487,240,TIX,62500000.0
240,1322600.0,8146001.0,taas,1515383051.0,77101246.0,,TaaS,0.6,11.58,61.04,0.00060093,9.46492,241,TAAS,8146001.0
241,901494.0,10500000.0,nimiq,1515383053.0,77098875.0,,Nimiq,-0.94,-0.81,80.62,0.00046619,7.34275,242,NET,10500000.0
242,20176800.0,45166200.0,blockmason,1515383057.0,76762215.0,,BlockMason Credit Protocol,2.13,-11.11,245.63,0.00010791,1.69955,243,BCPT,116158667.0
243,3138.25,68380258.0,paypex,1515383058.0,76605720.0,,Paypex,2.26,14.73,4.36,7.113e-05,1.12029,244,PAYX,150000000.0
244,4906010.0,76594318.0,blackcoin,1515383042.0,75215467.0,,BlackCoin,-2.87,-12.97,17.29,6.235e-05,0.981998,245,BLK,76594318.0
245,5460320.0,19628888.0,moeda-loyalty-points,1515383055.0,75048894.0,,Moeda Loyalty Points,1.39,0.86,74.36,0.00024275,3.82339,246,MDA,19628888.0
246,2550360.0,42719764.0,stox,1515383054.0,75027867.0,,Stox,0.7,25.5,94.49,0.00011151,1.75628,247,STX,58559488.0
247,615529.0,2592945.0,diamond,1515383041.0,74508013.0,,Diamond,-2.31,8.97,50.83,0.00182438,28.7349,248,DMD,2592945.0
248,920114.0,16458634.0,iocoin,1515383043.0,74399282.0,,I/O Coin,-2.42,-9.39,42.5,0.000287,4.52038,249,IOC,16458634.0
249,1100940.0,4027031669.0,colossuscoinxt,1515383056.0,73112371.0,13000000000.0,ColossusCoinXT,-3.7,5.8,131.64,1.15e-06,0.0181554,250,COLX,12204883809.0
250,6303960.0,2303464000.0,bitbean,1515383044.0,71511040.0,,BitBean,-4.95,-14.45,109.09,1.97e-06,0.031045,251,BITB,2303464000.0
251,1724330.0,18861933.0,ion,1515383048.0,71029701.0,,ION,-2.5,23.39,14.9,0.00023909,3.76577,252,ION,24761933.0
252,44248.1,591500000.0,domraider,1515383057.0,70869981.0,,DomRaider,5.02,26.48,128.55,7.61e-06,0.119814,253,DRT,1300000000.0
